"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870","603.5","-12.2","34.4","2983.8","12.1","15.8","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871","426.6","-18.9","33.3","2735.2","10.7","14.9","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872","631.8","-16.1","35.6","3386.2","10.7","14.9","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873","474.0","-18.3","34.4","3453.6","10.4","14.5","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874","432.2","-16.1","36.7","3205.9","10.7","15.0","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875","471.9","-19.4","33.9","3343.9","9.7","13.6","5.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876","618.3","-16.1","36.7","3211.6","11.1","14.9","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877","546.3","-12.2","33.3","3287.8","11.6","15.4","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878","562.5","-13.9","34.4","2778.8","12.0","15.7","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879","490.3","-20.0","36.7","3038.3","11.2","15.2","7.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880","590.9","-21.1","35.6","2682.1","11.6","15.7","7.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1881","548.8","-19.4","38.3","3492.5","11.2","15.2","7.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1882","517.0","-21.1","33.9","2887.7","10.9","14.6","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1883","425.5","-18.3","35.0","3390.7","10.1","13.9","6.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884","544.9","-19.4","32.8","3316.1","11.2","14.9","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885","492.8","-18.9","37.2","3324.8","10.3","14.3","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886","416.4","-20.0","34.4","3124.7","10.7","14.8","6.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887","500.8","-15.6","35.6","3249.7","10.5","14.6","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888","407.5","-17.8","35.6","3606.4","9.7","13.7","5.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889","457.2","-16.1","32.8","3017.1","11.6","15.3","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890","480.5","-13.9","36.7","2827.2","11.6","15.6","7.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891","612.8","-12.8","36.7","3038.4","12.3","16.2","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892","553.0","-12.8","36.1","2916.2","11.2","15.1","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893","433.0","-17.2","35.0","3370.9","10.4","14.3","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894","506.7","-17.2","35.6","2947.3","11.6","15.4","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895","674.6","-20.0","36.1","3122.1","11.7","15.8","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896","673.5","-20.6","36.7","2959.4","12.0","15.8","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897","514.7","-14.4","33.9","2817.2","12.0","15.7","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898","659.7","-13.3","37.8","2654.5","12.8","16.3","9.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899","653.7","-21.1","35.0","2910.6","12.2","15.9","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900","695.2","-15.0","36.1","2927.4","12.3","16.3","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1901","629.1","-13.3","37.8","2874.2","11.4","14.8","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1902","396.2","-13.3","32.2","2976.6","11.7","15.2","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1903","410.5","-15.6","35.0","2626.0","11.7","15.3","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1904","528.7","-20.0","34.4","3314.9","10.5","14.2","6.7"
